SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,winter_2022,spring_2022,summer_2022,fall_2022,neighborhood
2956,92124,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,917582,984456,1010072,972943,
2967,91941,zip,CA,CA,La Mesa,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,874311,933507,959055,920692,
3267,92123,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,857892,923888,950003,922978,
3376,92116,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,856014,921133,943091,927162,
3382,92081,zip,CA,CA,Vista,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,800180,866388,904980,875406,
3419,92120,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,917527,985962,1016291,983325,
3656,92107,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,1364958,1467606,1520039,1477724,
3687,92110,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,889406,957893,1000665,993164,
3838,92173,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,607566,644570,665517,640310,
3984,92008,zip,CA,CA,Carlsbad,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,1330432,1461743,1549489,1531813,
4057,91932,zip,CA,CA,Imperial Beach,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,797994,853274,884134,862165,
4198,91945,zip,CA,CA,Lemon Grove,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,670888,719777,740863,707555,
4520,92108,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,553629,598074,626519,615488,
4641,92029,zip,CA,CA,Escondido,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,1043360,1138098,1205070,1176361,
4653,92119,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,872124,944589,968709,931125,
5077,92011,zip,CA,CA,Carlsbad,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,1375100,1509530,1591885,1554653,
5418,91902,zip,CA,CA,Bonita,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,968101,1038416,1076058,1051639,
5500,92082,zip,CA,CA,Valley Center,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,854562,919433,940994,913126,
5761,92118,zip,CA,CA,Coronado,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,2409216,2582683,2671477,2614969,
5790,92106,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,1619974,1753946,1821244,1797019,
6556,91901,zip,CA,CA,Alpine,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,865779,930343,959611,932596,
7074,92010,zip,CA,CA,Carlsbad,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,1052745,1141255,1210302,1185186,
7941,92014,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,2475467,2698840,2788651,2736919,
8222,91978,zip,CA,CA,Spring Valley,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,749087,797632,813731,778970,
8680,92075,zip,CA,CA,Solana Beach,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,1914738,2090650,2197621,2178435,
8939,91914,zip,CA,CA,Chula Vista,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,992314,1074485,1121797,1083083,
9087,92007,zip,CA,CA,Encinitas,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,1874213,2029952,2125455,2074943,
9229,91935,zip,CA,CA,Jamul,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,912779,978927,1009314,982021,
10867,92121,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,974878,1075245,1133186,1114806,
11129,92067,zip,CA,CA,Rancho Santa Fe,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,3642099,3968009,4129491,4018473,
